Date,Item,Category,Price
2020-01-01,Milk,Dairy,16.08012189095993
2020-01-02,Nuts,Snacks,19.649611261319126
2020-01-03,Chips,Snacks,8.0456015638754
2020-01-04,Cheese,Dairy,16.380547913474775
2020-01-05,Pork,Meat,22.313055415654922
2020-01-06,Beans,Canned Goods,24.86493188849327
2020-01-07,Beef,Meat,2.8338856889834076
2020-01-08,Pork,Meat,13.158754354505053
2020-01-09,Nuts,Snacks,19.0034189656384
2020-01-10,Nuts,Snacks,4.466157570532026
2020-01-11,Beef,Meat,5.484765927942247
2020-01-12,Fish,Meat,13.223642037843202
2020-01-13,Chips,Snacks,19.52636045697619
2020-01-14,Apples,Produce,18.022965955563908
2020-01-15,Eggs,Dairy,15.67430086379986
2020-01-16,Eggs,Dairy,8.214080407306176
2020-01-17,Butter,Dairy,3.2175269378823392
2020-01-18,Butter,Dairy,8.655317031050922
2020-01-19,Bagels,Bakery,9.126483883754688
2020-01-20,Croissants,Bakery,7.748024757032156
2020-01-21,Soup,Canned Goods,3.2827994025157894
2020-01-22,Candy,Snacks,23.408314408019752
2020-01-23,Candy,Snacks,28.849719494977524
2020-01-24,Bagels,Bakery,14.147390552333452
2020-01-25,Nuts,Snacks,11.072877493352017
2020-01-26,Cheese,Dairy,18.55697389484885
2020-01-27,Butter,Dairy,9.747066345371096
2020-01-28,Eggs,Dairy,9.232767008554383
2020-01-29,Eggs,Dairy,17.41351970193929
2020-01-30,Eggs,Dairy,27.628630586020467
2020-01-31,Lettuce,Produce,29.166650896783782
2020-02-01,Bagels,Bakery,16.46802910350407
2020-02-02,Cookies,Snacks,25.484514583409524
2020-02-03,Beef,Meat,3.151610366143533
2020-02-04,Chips,Snacks,22.441285727708017
2020-02-05,Soup,Canned Goods,1.8023271633964106
2020-02-06,Bananas,Produce,4.283773561623915
2020-02-07,Eggs,Dairy,8.844078793571367
2020-02-08,Tomatoes,Produce,18.760086478690248
2020-02-09,Cookies,Snacks,12.010979801609592
2020-02-10,Beef,Meat,8.205312732725018
2020-02-11,Candy,Snacks,15.03738173682214
2020-02-12,Soup,Canned Goods,10.15044658891704
2020-02-13,Carrots,Produce,21.293636133658165
2020-02-14,Tuna,Canned Goods,1.225858106307771
2020-02-15,Carrots,Produce,29.594504384937828
2020-02-16,Cookies,Snacks,22.411673246340268
2020-02-17,Beans,Canned Goods,20.424923127014836
2020-02-18,Lettuce,Produce,23.863212594864244
2020-02-19,Croissants,Bakery,17.663304712697204
2020-02-20,Cheese,Dairy,17.926814814766058
2020-02-21,Tomatoes,Canned Goods,7.5416679257058075
2020-02-22,Bagels,Bakery,16.534277671999924
2020-02-23,Pork,Meat,11.274309450284662
2020-02-24,Bananas,Produce,26.53642045731758
2020-02-25,Carrots,Produce,27.314481635434536
2020-02-26,Tuna,Canned Goods,18.970406016017417
2020-02-27,Nuts,Snacks,4.4964644287828115
2020-02-28,Bananas,Produce,18.827397476363142
2020-02-29,Tuna,Canned Goods,20.506059821909687
2020-03-01,Eggs,Dairy,19.619645485951853
2020-03-02,Cheese,Dairy,13.03586779730182
2020-03-03,Fish,Meat,1.01550667292477
2020-03-04,Beans,Canned Goods,8.897204188011084
2020-03-05,Bagels,Bakery,19.68012957139013
2020-03-06,Bread,Bakery,28.63965862370204
2020-03-07,Eggs,Dairy,5.817129982650296
2020-03-08,Bagels,Bakery,24.82963373101584
2020-03-09,Cheese,Dairy,2.3188479247875984
2020-03-10,Apples,Produce,16.183184762965364
2020-03-11,Bananas,Produce,5.8160772606191165
2020-03-12,Beef,Meat,7.00762310265089
2020-03-13,Nuts,Snacks,6.889189900285073
2020-03-14,Lettuce,Produce,10.615753457947077
2020-03-15,Fish,Meat,29.922958478169704
2020-03-16,Candy,Snacks,5.177566505456672
2020-03-17,Croissants,Bakery,17.716235705187767
2020-03-18,Cookies,Snacks,5.145765804538971
2020-03-19,Soup,Canned Goods,16.832586652347118
2020-03-20,Bagels,Bakery,15.67024909905886
2020-03-21,Chicken,Meat,10.629073208898998
2020-03-22,Eggs,Dairy,14.442342303026853
2020-03-23,Fish,Meat,25.184076514204985
2020-03-24,Butter,Dairy,16.06104384530852
2020-03-25,Eggs,Dairy,1.4844185434496393
2020-03-26,Tuna,Canned Goods,20.881265134038852
2020-03-27,Bananas,Produce,13.859253311157733
2020-03-28,Croissants,Bakery,17.383263255741774
2020-03-29,Tomatoes,Canned Goods,12.50386052264601
2020-03-30,Cookies,Snacks,29.547518571162488
2020-03-31,Chips,Snacks,18.67195970980549
2020-04-01,Beef,Meat,1.3604940484808892
2020-04-02,Milk,Dairy,29.783628209727045
2020-04-03,Chicken,Meat,8.947532464702107
2020-04-04,Croissants,Bakery,21.151722795673855
2020-04-05,Chips,Snacks,23.64720614389022
2020-04-06,Cookies,Snacks,28.523327017907885
2020-04-07,Tomatoes,Canned Goods,13.610746963173659
2020-04-08,Nuts,Snacks,18.1207448237439
2020-04-09,Beef,Meat,5.616690238775556
2020-04-10,Tuna,Canned Goods,17.417351715604077
2020-04-11,Nuts,Snacks,15.455215185009259
2020-04-12,Butter,Dairy,21.38599357348301
2020-04-13,Bagels,Bakery,26.3030718675437
2020-04-14,Croissants,Bakery,8.880081596743931
2020-04-15,Tuna,Canned Goods,29.936277675771407
2020-04-16,Fish,Meat,15.846703884697861
2020-04-17,Cheese,Dairy,27.982089204903435
2020-04-18,Lettuce,Produce,1.6483716534757238
2020-04-19,Bagels,Bakery,16.836123019960443
2020-04-20,Milk,Dairy,12.908232265793442
2020-04-21,Nuts,Snacks,20.62731860631473
2020-04-22,Bagels,Bakery,15.093893664911805
2020-04-23,Croissants,Bakery,18.720376933804026
2020-04-24,Milk,Dairy,18.633962908431986
2020-04-25,Candy,Snacks,16.33614982427707
2020-04-26,Tomatoes,Canned Goods,6.794984867813965
2020-04-27,Tuna,Canned Goods,26.571607514297273
2020-04-28,Soup,Canned Goods,22.62977416140048
2020-04-29,Chicken,Meat,14.493728810885546
2020-04-30,Soup,Canned Goods,4.999328037394817
2020-05-01,Eggs,Dairy,22.247841435956648
2020-05-02,Nuts,Snacks,23.390376425135265
2020-05-03,Nuts,Snacks,20.434779222983824
2020-05-04,Bread,Bakery,26.73140679557999
2020-05-05,Tomatoes,Canned Goods,7.048451044650711
2020-05-06,Bagels,Bakery,13.951461984423641
2020-05-07,Beans,Canned Goods,15.100280455859918
2020-05-08,Fish,Meat,18.379273795730956
2020-05-09,Nuts,Snacks,4.8977156838702305
2020-05-10,Fish,Meat,10.12098080745583
2020-05-11,Pork,Meat,24.833806803702593
2020-05-12,Carrots,Produce,24.68702378653139
2020-05-13,Beef,Meat,21.174122217542354
2020-05-14,Tuna,Canned Goods,6.567381207022382
2020-05-15,Nuts,Snacks,2.6395892268813657
2020-05-16,Carrots,Produce,7.916986864867186
2020-05-17,Bread,Bakery,22.695660446324784
2020-05-18,Beans,Canned Goods,9.614944725854278
2020-05-19,Cheese,Dairy,25.838844958437218
2020-05-20,Cookies,Snacks,19.942970801797316
2020-05-21,Bagels,Bakery,16.405039335806297
2020-05-22,Pork,Meat,12.217120679350383
2020-05-23,Bread,Bakery,12.764078521733001
2020-05-24,Tomatoes,Produce,26.474943320197998
2020-05-25,Lettuce,Produce,24.99715026999628
2020-05-26,Lettuce,Produce,26.473595804206347
2020-05-27,Bagels,Bakery,7.92094005513061
2020-05-28,Beans,Canned Goods,24.107839699622957
2020-05-29,Apples,Produce,14.766850773731385
2020-05-30,Chicken,Meat,27.6300624319615
2020-05-31,Bagels,Bakery,24.279839112438573
2020-06-01,Milk,Dairy,25.773479805126353
2020-06-02,Cookies,Snacks,27.06906404011443
2020-06-03,Chips,Snacks,28.4061939508891
2020-06-04,Bread,Bakery,17.72028954882273
2020-06-05,Milk,Dairy,6.153414812348473
2020-06-06,Bagels,Bakery,21.939458340925974
2020-06-07,Nuts,Snacks,10.086661861090244
2020-06-08,Fish,Meat,5.532589091153037
2020-06-09,Bagels,Bakery,5.408255190389965
2020-06-10,Tomatoes,Produce,17.316844572172865
2020-06-11,Pork,Meat,19.698079000057657
2020-06-12,Cookies,Snacks,2.299104054128027
2020-06-13,Beans,Canned Goods,13.32758407563801
2020-06-14,Croissants,Bakery,15.767332353726413
2020-06-15,Tomatoes,Produce,19.98598500167898
2020-06-16,Chips,Snacks,18.707543642822436
2020-06-17,Tuna,Canned Goods,12.471464351365235
